code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
GMB,Gambia,,GMB,CMD,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRR,Central River Region,,CRR,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URR,Upper River Region,,URR,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRR,Lower River Region,,LRR,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBR,North Bank Region,,NBR,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR,Western Coast Region,,WHR,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS1,MEDICAL RESEARCH COUNCIL,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS2,CENTRAL MEDICAL STORE,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS3,QIAGEN,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS4,CELLTRION PHAM INC,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS5,UNDP/ PRIMELAB/ IAEA,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS6,MINISTRY OF HEALTH,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS7,UNDP/ TTM/ IAEA,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS8,BIONOTE - INC,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS9,SUADI ARABIA GIFTS,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS10,MEDOPHARM,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS11,IBIS PHARMA,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS12,AJANTA PHARMA LTD,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS13,UNIVERSAL CORPORATION LIMITED,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS14,ACCESS BIO INC,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS15,Premier Medical Corporation Limited,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS16,MILLER & MILLER CHEMICALS LTD,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS17,RETURN,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS18,EFSTEACHING HOSPITAL,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS19,BANSANG HOSPITAL,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS20,DURBIN PLC,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS21,ACDIMA INTERNATIONAL LTD,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS22,UNICEF,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS23,MYLAN LABORATORIES LIMITED,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS24,IMRES MEDICAL SUPPLIERS,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS25,PERMIER MEDICAL CORPORATION LIMITED,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS26,PFIZER OVERSEA LLC,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS27,IDA FOUNDATION,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS28,HINDUSTAN SYRINGES + MEDICAL DEVICES LTD,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS29,FRESENIUM KABI,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS30,AMSTELFARMA,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS31,NATIONAL MALARIA CONTROL PROGRAMME,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS32,PHARMACIE NATIONAL D'APPROVISIONMENT DE SENEGAL,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS33,CIPLA LIMITED,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS34,ABBOTT LOGISTICS B.V.,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS35,LUPIN LIMITED,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
DS36,NATIONAL PUBLIC HEALTH LABORATORY,,GMB,DNR,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
