code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
GCMS,Central Medical Store,,BAC,CMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1RMS,WHR1 RMS,,BAC,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP1,Birth and Deaths Registration Office,,BAC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSS1,BDRO Substore 1,,BAC,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSS2,BDRO Substore 2,,BAC,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSS3,BDRO Substore 3,,BAC,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP2,BJL Hotspot,,BAC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP3,Edward Francis Small Teaching Hospital,,BAC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP4,EFSTH Polyclinic,,BAC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP5,Fire Service Clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC1,GFPA Banjul,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC2,Leman Street RCH Clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC3,Mile (2) prison,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC4,Navy Clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC5,Pakala clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC6,Police Clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC7,Roamers,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC8,Sanitorun,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC9,State Guard Clinic,,BAC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2RMS,WHR2 RMS,,FBK,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSP1,Bwiam General Hospital,,FOK,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSS1,BGH Sub Store 1,,FOK,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSS2,BGH Sub Store 2,,FOK,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSS3,BGH Sub Store 3,,FOK,HSS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSP2,Brikama District Hospital,,KOC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC1,Brikama Methodist,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC2,Brikama MRC,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC3,Brikama Remis,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC4,CaDO Brikama (SSJC),,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC5,Catholic Mission Mobile Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC6,Hakunamatata Community Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC7,Hands on Care,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC8,KC Hotspots,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC9,Marakissa NGO Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC10,Nyambai Community Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC11,Remis NGO Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC12,Wellingara Community Clinic,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC13,Bakary sambuya Health post,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC14,Brikama CADO,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
