productCode, description, name,dispensingUnit, packRoundingThreshold, packSize, roundToZero,netContent,productCode
GAMB00001,Clindamycin tablets 300mg,Clindamycin tablets 300mg,dispensingUnit:each,1,1,True,1,GAMB00001
GAMB00002,Doxycycline 100mg tablets/capsules,Doxycycline 100mg tablets/capsules,dispensingUnit:each,1,1,True,1,GAMB00002
GAMB00003,Erythromycin 250mg (as stearate) tablets/capsules,Erythromycin 250mg (as stearate) tablets/capsules,dispensingUnit:each,1,1,True,1,GAMB00003
GAMB00004,Erythromycin 125mg/5ml (as ethyl succinate) syrup,Erythromycin 125mg/5ml (as ethyl succinate) syrup,dispensingUnit:each,1,1,True,1,GAMB00004
GAMB00005,Gentamycin 40mg/ml injection,Gentamycin 40mg/ml injection,dispensingUnit:each,1,1,True,1,GAMB00005
GAMB00006,Metronidazole 250mg/500mg tablets,Metronidazole 250mg/500mg tablets,dispensingUnit:each,1,1,True,1,GAMB00006
GAMB00007,Metronidazole 125mg/5ml powder for syrup,Metronidazole 125mg/5ml powder for syrup,dispensingUnit:each,1,1,True,1,GAMB00007
GAMB00008,"Metronidazole 5mg/ml injcetion, 100ml","Metronidazole 5mg/ml injcetion, 100ml",dispensingUnit:each,1,1,True,1,GAMB00008
GAMB00009,Nitrofurantoin 100mg tablets,Nitrofurantoin 100mg tablets,dispensingUnit:each,1,1,True,1,GAMB00009
GAMB00010,Sulphamethozaxole 400mg/Trimethoprim 80mg tablets (Co-trimoxazole),Sulphamethozaxole 400mg/Trimethoprim 80mg tablets (Co-trimoxazole),dispensingUnit:each,1,1,True,1,GAMB00010
GAMB00011,Sulphamethozaxole 100mg/Trimethoprim 20mg tablets (Co-trimoxazole),Sulphamethozaxole 100mg/Trimethoprim 20mg tablets (Co-trimoxazole),dispensingUnit:each,1,1,True,1,GAMB00011
GAMB00012,Sulphamethozaxole 200mg/Trimethoprim 40mg per 5ml suspension,Sulphamethozaxole 200mg/Trimethoprim 40mg per 5ml suspension,dispensingUnit:each,1,1,True,1,GAMB00012
GAMB00013,Vancomycin 125mg capsules,Vancomycin 125mg capsules,dispensingUnit:each,1,1,True,1,GAMB00013
GAMB00014,Vancomycin 1g inj,Vancomycin 1g inj,dispensingUnit:each,1,1,True,1,GAMB00014
GAMB00015,Clofazimine(Lamprene) 50mg capsules,Clofazimine(Lamprene) 50mg capsules,dispensingUnit:each,1,1,True,1,GAMB00015
GAMB00016,Dapsone 100mg tablets,Dapsone 100mg tablets,dispensingUnit:each,1,1,True,1,GAMB00016
GAMB00017,Ethambutol 400mg tablets,Ethambutol 400mg tablets,dispensingUnit:each,1,1,True,1,GAMB00017
GAMB00018,Isoniazid 100mg tablets,Isoniazid 100mg tablets,dispensingUnit:each,1,1,True,1,GAMB00018
GAMB00019,Isoniazid 300mg tablets,Isoniazid 300mg tablets,dispensingUnit:each,1,1,True,1,GAMB00019
GAMB00020,Pyrazinamide 400mg tablets,Pyrazinamide 400mg tablets,dispensingUnit:each,1,1,True,1,GAMB00020
GAMB00021,Rifampicin 150mg tablets/capsules,Rifampicin 150mg tablets/capsules,dispensingUnit:each,1,1,True,1,GAMB00021
GAMB00022,Rifampicin 300mg tablets/capsules,Rifampicin 300mg tablets/capsules,dispensingUnit:each,1,1,True,1,GAMB00022
GAMB00023,Rifampicin 300mg/Isoniazid 150mg tablets,Rifampicin 300mg/Isoniazid 150mg tablets,dispensingUnit:each,1,1,True,1,GAMB00023
GAMB00024,Rifampicin 150mg/Isoniazid 150mg,Rifampicin 150mg/Isoniazid 150mg,dispensingUnit:each,1,1,True,1,GAMB00024
GAMB00025,Streptomycin 1g powder for injection,Streptomycin 1g powder for injection,dispensingUnit:each,1,1,True,1,GAMB00025
GAMB00026,"Amikacin sulphate 250mg/ml, 2ml vial","Amikacin sulphate 250mg/ml, 2ml vial",dispensingUnit:each,1,1,True,1,GAMB00026
GAMB00027,"Kanamycin Sulphate powder for injection, Igm vial","Kanamycin Sulphate powder for injection, Igm vial",dispensingUnit:each,1,1,True,1,GAMB00027
GAMB00028,Capreomycin Sulphate 1 MU powder for injection(1gm) vial,Capreomycin Sulphate 1 MU powder for injection(1gm) vial,dispensingUnit:each,1,1,True,1,GAMB00028
GAMB00029,Ofloxacin 200mg tablets,Ofloxacin 200mg tablets,dispensingUnit:each,1,1,True,1,GAMB00029
GAMB00030,"Ofloxacin Hydrochloride 2mg/ml, 50ml","Ofloxacin Hydrochloride 2mg/ml, 50ml",dispensingUnit:each,1,1,True,1,GAMB00030
GAMB00031,Benzoic acid/ Salicylic acid comp ointment 6%/3%,Benzoic acid/ Salicylic acid comp ointment 6%/3%,dispensingUnit:each,1,1,True,1,GAMB00031
GAMB00032,Clotrimazole 500mg Vaginal tablets with applicator,Clotrimazole 500mg Vaginal tablets with applicator,dispensingUnit:each,1,1,True,1,GAMB00032
GAMB00033,Clotrimazole 1% cream,Clotrimazole 1% cream,dispensingUnit:each,1,1,True,1,GAMB00033
GAMB00034,Fluconazole 50mg Capsule,Fluconazole 50mg Capsule,dispensingUnit:each,1,1,True,1,GAMB00034
GAMB00035,Griseofulvin 125mg tablets,Griseofulvin 125mg tablets,dispensingUnit:each,1,1,True,1,GAMB00035
GAMB00036,Griseofulvin 250mg tablets,Griseofulvin 250mg tablets,dispensingUnit:each,1,1,True,1,GAMB00036
GAMB00037,Ketoconazole 200mg tablets,Ketoconazole 200mg tablets,dispensingUnit:each,1,1,True,1,GAMB00037
GAMB00038,Ketoconazole cream 1%,Ketoconazole cream 1%,dispensingUnit:each,1,1,True,1,GAMB00038
GAMB00039,Miconazole 2% cream,Miconazole 2% cream,dispensingUnit:each,1,1,True,1,GAMB00039
GAMB00040,"Nystatin 100,000 iu oral suspension,","Nystatin 100,000 iu oral suspension,",dispensingUnit:each,1,1,True,1,GAMB00040
GAMB00041,"Nystatin 500,000 iu tablets","Nystatin 500,000 iu tablets",dispensingUnit:each,1,1,True,1,GAMB00041
GAMB00042,"Nystatin 100,000 iu tablets","Nystatin 100,000 iu tablets",dispensingUnit:each,1,1,True,1,GAMB00042
GAMB00043,Metronidazole 250mg tablets,Metronidazole 250mg tablets,dispensingUnit:each,1,1,True,1,GAMB00043
GAMB00044,Metronidazole 125mg/5ml powder for syrup,Metronidazole 125mg/5ml powder for syrup,dispensingUnit:each,1,1,True,1,GAMB00044
GAMB00045,"Metronidazole 5mg/ml injection, 100ml","Metronidazole 5mg/ml injection, 100ml",dispensingUnit:each,1,1,True,1,GAMB00045
GAMB00046,Metronidazole 500mg vaginal tablets,Metronidazole 500mg vaginal tablets,dispensingUnit:each,1,1,True,1,GAMB00046
GAMB00047,Artemether/Lumefantrine 20/120mg,Artemether/Lumefantrine 20/120mg,dispensingUnit:each,1,1,True,1,GAMB00047
GAMB00048,Artesunate 60mg/5ml inj,Artesunate 60mg/5ml inj,dispensingUnit:each,1,1,True,1,GAMB00048
GAMB00049,Artesunate/Amodiaquine 50mg/150mg&200mg/150mg base tablet,Artesunate/Amodiaquine 50mg/150mg&200mg/150mg base tablet,dispensingUnit:each,1,1,True,1,GAMB00049
