name, startDate, endDate, description, processingSchedule
Jan,2022-01-01,2022-01-31,22-Jan,MONTHLY
Feb,2022-02-01,2022-02-28,22-Feb,MONTHLY
Mar,2022-03-01,2022-03-31,22-Jan,MONTHLY
Apr,2022-04-01,2022-04-30,22-Feb,MONTHLY
May,2022-05-01,2022-05-31,22-Jan,MONTHLY
Jun,2022-06-01,2022-06-30,22-Feb,MONTHLY
Jul,2022-07-01,2022-07-31,22-Jan,MONTHLY
Aug,2022-08-01,2022-08-28,22-Feb,MONTHLY
Sep,2022-09-01,2022-09-30,22-Jan,MONTHLY
Oct,2022-10-01,2022-10-31,22-Jan,MONTHLY
Nov,2022-11-01,2022-11-30,22-Feb,MONTHLY
Dec,2022-12-01,2022-12-31,22-Jan,MONTHLY
