referenceId,isRefDataFacility
GCMS,true
WHR1RMS,true
WHR1HSP1,true
WHR1HSS1,true
WHR1HSS2,true
WHR1HSS3,true
WHR1HSP2,true
WHR1HSP3,true
WHR1HSP4,true
WHR1HSP5,true
WHR1HCC1,true
WHR1HCC2,true
WHR1HCC3,true
WHR1HCC4,true
WHR1HCC5,true
WHR1HCC6,true
WHR1HCC7,true
WHR1HCC8,true
WHR1HCC9,true
WHR2RMS,true
WHR2HCC10,true
WHR2HCC11,true
WHR2HCC12,true
WHR2HCC13,true
WHR2HCC14,true
WHR2HSP1,true
WHR2HSS1,true
WHR2HSS2,true
WHR2HSS3,true
WHR2HSP2,true
WHR2HCC1,true
WHR2HCC2,true
WHR2HCC3,true
WHR2HCC4,true
WHR2HCC5,true
WHR2HCC6,true
WHR2HCC7,true
WHR2HCC8,true
WHR2HCC9,true
