name, startDate, endDate, description, processingSchedule
JAN-FEB 2019,01/01/2019,28/02/2019,,2MONTHS
JAN-FEB 2019,01/01/2019,28/02/2019,,2MONTHS
MAR-APR 2019,01/03/2019,30/04/2019,,2MONTHS
MAY-JUN 2019,01/05/2019,30/06/2019,,2MONTHS
JUL-AUG 2019,01/07/2019,31/08/2019,,2MONTHS
SEP-OCT 2019,01/09/2019,31/10/2019,,2MONTHS
NOV-DEC 2019,01/11/2019,31/12/2019,,2MONTHS
JAN-FEB 2020,01/01/2020,29/02/2020,,2MONTHS
MAR-APR 2020,01/03/2020,30/04/2020,,2MONTHS
MAY-JUN 2020,01/05/2020,30/06/2020,,2MONTHS
JUL-AUG 2020,01/07/2020,31/08/2020,,2MONTHS
SEP-OCT 2020,01/09/2020,31/10/2020,,2MONTHS
NOV-DEC 2020,01/11/2020,31/12/2020,,2MONTHS
JAN-FEB 2021,01/01/2021,28/02/2021,,2MONTHS
MAR-APR 2021,01/03/2021,30/04/2021,,2MONTHS
MAY-JUN 2021,01/05/2021,30/06/2021,,2MONTHS
JUL-AUG 2021,01/07/2021,31/08/2021,,2MONTHS
SEP-OCT 2021,01/09/2021,31/10/2021,,2MONTHS
NOV-DEC 2021,01/11/2021,31/12/2021,,2MONTHS
JAN-FEB 2022,01/01/2022,28/02/2022,,2MONTHS
MAR-APR 2022,01/03/2022,30/04/2022,,2MONTHS
MAY-JUN 2022,01/05/2022,30/06/2022,,2MONTHS
JUL-AUG 2022,01/07/2022,31/08/2022,,2MONTHS
SEP-OCT 2022,01/09/2022,31/10/2022,,2MONTHS
NOV-DEC 2022,01/11/2022,31/12/2022,,2MONTHS





JAN-FEB 2019,01/01/2019,28/02/2019,,2MONTHS
MAR-APR 2019,01/03/2019,30/04/2019,,2MONTHS
MAY-JUN 2019,01/05/2019,30/06/2019,,2MONTHS
JUL-AUG 2019,01/07/2019,31/08/2019,,2MONTHS
SEP-OCT 2019,01/09/2019,31/10/2019,,2MONTHS
NOV-DEC 2019,01/11/2019,31/12/2019,,2MONTHS
JAN-FEB 2020,01/01/2020,29/02/2020,,2MONTHS
MAR-APR 2020,01/03/2020,30/04/2020,,2MONTHS
MAY-JUN 2020,01/05/2020,30/06/2020,,2MONTHS
JUL-AUG 2020,01/07/2020,31/08/2020,,2MONTHS
SEP-OCT 2020,01/09/2020,31/10/2020,,2MONTHS
NOV-DEC 2020,01/11/2020,31/12/2020,,2MONTHS
JAN-FEB 2021,01/01/2021,28/02/2021,,2MONTHS
MAR-APR 2021,01/03/2021,30/04/2021,,2MONTHS
MAY-JUN 2021,01/05/2021,30/06/2021,,2MONTHS
JUL-AUG 2021,01/07/2021,31/08/2021,,2MONTHS
SEP-OCT 2021,01/09/2021,31/10/2021,,2MONTHS
NOV-DEC 2021,01/11/2021,31/12/2021,,2MONTHS
JAN-FEB 2022,01/01/2022,28/02/2022,,2MONTHS
MAR-APR 2022,01/03/2022,30/04/2022,,2MONTHS
MAY-JUN 2022,01/05/2022,30/06/2022,,2MONTHS
JUL-AUG 2022,01/07/2022,31/08/2022,,2MONTHS
SEP-OCT 2022,01/09/2022,31/10/2022,,2MONTHS
NOV-DEC 2022,01/11/2022,31/12/2022,,2MONTHS
JAN-MAR 2019,01/01/2019,31/03/2019,,QUARTELY
APR-JUN 2019,01/04/2019,30/06/2019,,QUARTELY
JUL-SEP 2019,01/07/2019,30/09/2019,,QUARTELY
OCT-DEC 2019,01/10/2019,31/12/2019,,QUARTELY
JAN-MAR 2020,01/01/2020,31/03/2020,,QUARTELY
APR-JUN 2020,01/04/2020,30/06/2020,,QUARTELY
JUL-SEP 2020,01/07/2020,30/09/2020,,QUARTELY
OCT-DEC 2020,01/10/2020,31/12/2020,,QUARTELY
JAN-MAR 2021,01/01/2021,31/03/2021,,QUARTELY
APR-JUN 2021,01/04/2021,30/06/2021,,QUARTELY
JUL-SEP 2021,01/07/2021,30/09/2021,,QUARTELY
OCT-DEC 2021,01/10/2021,31/12/2021,,QUARTELY
JAN-MAR 2022,01/01/2022,31/03/2022,,QUARTELY
APR-JUN 2022,01/04/2022,30/06/2022,,QUARTELY
JUL-SEP 2022,01/07/2022,30/09/2022,,QUARTELY
OCT-DEC 2022,01/10/2022,31/12/2022,,QUARTELY
