programId, facilityTypeCode, destination
MLA,CMS,WHR1RMS
MLA,CMS,WHR2RMS
MLA,CMS,WHR1HSP1
MLA,CMS,WHR1HSP2
MLA,CMS,WHR1HSP3
MLA,CMS,WHR1HSP4
MLA,CMS,WHR2HSP1
MLA,CMS,WHR2HSP2
MLA,RMS,WHR1HCC1
MLA,RMS,WHR1HCC2
MLA,RMS,WHR1HCC3
MLA,RMS,WHR1HCC4
MLA,RMS,WHR1HCC5
MLA,RMS,WHR1HCC6
MLA,RMS,WHR1HCC7
MLA,RMS,WHR1HCC8
MLA,RMS,WHR1HCC9
MLA,RMS,WHR2HCC1
MLA,RMS,WHR2HCC2
MLA,RMS,WHR2HCC3
MLA,RMS,WHR2HCC4
MLA,RMS,WHR2HCC5
MLA,RMS,WHR2HCC6
MLA,RMS,WHR2HCC7
MLA,RMS,WHR2HCC8
MLA,RMS,WHR2HCC9
MLA,RMS,WHR2HCC10
MLA,RMS,WHR2HCC11
