code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
NBWRHCC3,Albreda Minor Health Center,,UPN,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC1,Badja Kunda Major Health Centre,,WUE,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC2,Bakau Minor Health Centre,,KAM,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC5,Banjulnding Minor Health Centre,,KON,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHSP1,Bansang Hospital,,UFW,GHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHSP1,Basse District Hospital,,BAS,DHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2HSP2,Brikama District Hospital,,KOC,DHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC4,BrikamaBa Minor Health Centre,,LFW,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC4,Brufut Minor Health Centre,,KON,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HSP2,Bundung Maternal Child Health Hospital,,KAM,GHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
LRRHCC1,Bureng Major Health Centre,,JAE,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2HSP1,Bwiam General Hospital,,FOK,GHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
GCMS,Central Medical Store,,BAC,CMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRRMS,CRR RMS,,UFW,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC6,Diabugu Minor Health Centre,,KTR,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HSP1,Edward Francis Small Teaching Hospital,,BAC,THSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBWRHSP1,Essau District Hospital,,LON,DHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC1,Faji Kunda Major Health Centre,,KAM,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERHSP1,Farafenni General Hospital,,UPB,GHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC3,Fatoto Minor Health Centre,,KTR,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC2,Gambisara Minor Health Centre,,JMR,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2HCC3,Gunjur Minor Health Centre,,KOS,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2HCC4,Hands-On-Care,,KOC,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERHCC3,Illiassa Minor Health Centre,,UPB,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC5,Janjangbureh Minor Health Centre,,JAB,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
