facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
CMS,EM,EM0001,4,2,1
CMS,EM,EM0002,4,2,1
CMS,EM,EM0003,4,2,1
CMS,EM,EM0004,4,2,1
CMS,EM,EM0005,4,2,1
CMS,EM,EM0006,4,2,1
CMS,EM,EM0007,4,2,1
CMS,EM,EM0008,4,2,1
CMS,EM,EM0009,4,2,1
CMS,EM,EM0010,4,2,1
CMS,EM,EM0011,4,2,1
CMS,EM,EM0012,4,2,1
CMS,EM,EM0013,4,2,1
CMS,EM,EM0014,4,2,1
CMS,EM,EM0015,4,2,1
CMS,EM,EM0016,4,2,1
CMS,EM,EM0017,4,2,1
CMS,EM,EM0018,4,2,1
CMS,EM,EM0019,4,2,1
CMS,EM,EM0020,4,2,1
CMS,EM,EM0021,4,2,1
CMS,EM,EM0022,4,2,1
CMS,EM,EM0023,4,2,1
CMS,EM,EM0024,4,2,1
CMS,EM,EM0025,4,2,1
CMS,EM,EM0026,4,2,1
CMS,EM,EM0027,4,2,1
CMS,EM,EM0028,4,2,1
CMS,EM,EM0029,4,2,1
CMS,EM,EM0030,4,2,1
CMS,EM,EM0031,4,2,1
CMS,EM,EM0032,4,2,1
CMS,EM,EM0034,4,2,1
CMS,EM,EM0035,4,2,1
CMS,EM,EM0036,4,2,1
CMS,EM,EM0037,4,2,1
CMS,EM,EM0039,4,2,1
CMS,EM,EM0040,4,2,1
CMS,EM,EM0041,4,2,1
CMS,EM,EM0042,4,2,1
CMS,EM,EM0043,4,2,1
CMS,EM,EM0044,4,2,1
CMS,EM,EM0045,4,2,1
CMS,EM,EM0046,4,2,1
CMS,EM,EM0047,4,2,1
CMS,EM,EM0048,4,2,1
CMS,EM,EM0049,4,2,1
CMS,EM,EM0050,4,2,1
CMS,EM,EM0051,4,2,1
CMS,EM,EM0052,4,2,1
CMS,EM,EM0053,4,2,1
CMS,EM,EM0054,4,2,1
CMS,EM,EM0055,4,2,1
CMS,EM,EM0056,4,2,1
CMS,EM,EM0057,4,2,1
CMS,EM,EM0058,4,2,1
CMS,EM,EM0059,4,2,1
CMS,EM,EM0060,4,2,1
CMS,EM,EM0061,4,2,1
CMS,EM,EM0062,4,2,1
CMS,EM,EM0063,4,2,1
CMS,EM,EM0064,4,2,1
CMS,EM,EM0065,4,2,1
CMS,EM,EM0066,4,2,1
CMS,EM,EM0067,4,2,1
CMS,EM,EM0068,4,2,1
CMS,EM,EM0069,4,2,1
CMS,EM,EM0070,4,2,1
