referenceName,isRefDataFacility
MEDICAL RESEARCH COUNCIL,FALSE
QIAGEN,FALSE
CELLTRION PHAM INC,FALSE
UNDP/ PRIMELAB/ IAEA,FALSE
MINISTRY OF HEALTH,FALSE
UNDP/ TTM/ IAEA,FALSE
BIONOTE - INC,FALSE
SUADI ARABIA GIFTS,FALSE
MEDOPHARM,FALSE
IBIS PHARMA,FALSE
AJANTA PHARMA LTD,FALSE
UNIVERSAL CORPORATION LIMITED,FALSE
ACCESS BIO INC,FALSE
Premier Medical Corporation Limited,FALSE
MILLER & MILLER CHEMICALS LTD,FALSE
RETURN,FALSE
EFSTEACHING HOSPITAL,FALSE
BANSANG HOSPITAL,FALSE
DURBIN PLC,FALSE
ACDIMA INTERNATIONAL LTD,FALSE
UNICEF,FALSE
MYLAN LABORATORIES LIMITED,FALSE
IMRES MEDICAL SUPPLIERS,FALSE
PERMIER MEDICAL CORPORATION LIMITED,FALSE
PFIZER OVERSEA LLC,FALSE
IDA FOUNDATION,FALSE
HINDUSTAN SYRINGES + MEDICAL DEVICES LTD,FALSE
FRESENIUM KABI,FALSE
AMSTELFARMA,FALSE
NATIONAL MALARIA CONTROL PROGRAMME,FALSE
PHARMACIE NATIONAL D'APPROVISIONMENT DE SENEGAL,FALSE
CIPLA LIMITED,FALSE
ABBOTT LOGISTICS B.V.,FALSE
LUPIN LIMITED,FALSE
NATIONAL PUBLIC HEALTH LABORATORY,FALSE
UNIMED INTERNATIONAL LTD,FALSE
AUROBINDO PHARMA LTD,FALSE
RANBAXY LABORATORIES LIMITED,FALSE
CADILA PHARMACEUTICAL,FALSE
ENRAF-NANIUS B.V.,FALSE
WORLD HEALTH ORGANISATION,FALSE
MACLEODS PHARMACEUTICAL LIMITED,FALSE
DANADAMS PHARMACEUTICALS,FALSE
MATRIX LOBORATORIES LTD,FALSE
USAID GHANA,FALSE
BRUKER,FALSE
TROPICS INTERNATIONAL EL,FALSE
UNDP/IAEA (ESCO MICRO PTE LTD),FALSE
NOVARTIS PHARMA SERVICE,FALSE
REIG JOFRA LABORATORIES,FALSE
STRIDES ARCOLAB LTD,FALSE
DONATION,FALSE
LABORATOIRE RENAUDIN,FALSE
Remedica Manufacturing of Pharmaceuticals,FALSE
HETERO LABS LIMITED,FALSE
SUN PHARMACEUTICAL INDUSTRIES LTD,FALSE
GUILIN PHARMACEUTICAL CO. LTD.,FALSE
ISLAMIC DEVELOPEMENT BANK,FALSE
BF INTERNATIONAL (HK) LTD,FALSE
Gem Forgings Private Limited,FALSE
VERVE HUMAN CARE LABORATORY,FALSE
ALERE MEDICAL CO. LTD,FALSE
ENTRANCE PHARMACEUTICAL & RESEARCH CENTRE,FALSE
STANDARD DIAGNOSTIC INC,FALSE
MEDICAL PARTNER,FALSE
SIGMA-TAU,FALSE
ARYSTA LIFE SCIENCE,FALSE
ACME FORMULATION,FALSE
CITY PHARMACY,FALSE
STOP STEP PHARMACY,FALSE
BECTON DICKINSON INT,FALSE
ECOMED SCIENTIFIC,FALSE
KAIRABA PHARMACEUTICALS,FALSE
YORLAB,FALSE
BIO-MED LABORATORY,FALSE
GHANA HEALTH SERVICES,FALSE
HK MANSARING,FALSE
MG WORLDWIDE PVT LTD.,FALSE
ONEWORLD ACCURACY,FALSE
ASB CLINIC,FALSE
EVE'S CONTRACEPTIVE CHOICES,FALSE
WORLD BANK,FALSE
SURCMS,FALSE
TECHNOLOGY TRANSFER MARBURG E.V (TTM),FALSE
SVIZERA EUROPE,FALSE
TOBINCO PHARMACEUTICALS LTD,FALSE
CHILD FUND THE GAMBIA,FALSE
ATLAS TRADING MEDICAL,FALSE
PHARMANOVA LIMITED,FALSE
ALFASIGMA S.P.A,FALSE
MULTI-G BVBA,FALSE
ASTA,FALSE
UNDP/ IAEA/ ANEX WE CARE,FALSE
SHEARGOLD LIMITED,FALSE
EN-PROJECT,FALSE
UMEDICA LABORATORIES PVT. LTD,FALSE
AIDA .A. KANDJI,FALSE
HUMANWELL PHARMA MALI-SA,FALSE
