code,program,category,dosesPerPatient,active,fullSupply,displayOrder,pricePerPack
EM0001,EM,EM,1,TRUE,TRUE,1,0
EM0002,EM,EM,1,TRUE,TRUE,1,0
EM0003,EM,EM,1,TRUE,TRUE,1,0
EM0004,EM,EM,1,TRUE,TRUE,1,0
EM0005,EM,EM,1,TRUE,TRUE,1,0
EM0006,EM,EM,1,TRUE,TRUE,1,0
EM0007,EM,EM,1,TRUE,TRUE,1,0
EM0008,EM,EM,1,TRUE,TRUE,1,0
EM0009,EM,EM,1,TRUE,TRUE,1,0
EM0010,EM,EM,1,TRUE,TRUE,1,0
EM0011,EM,EM,1,TRUE,TRUE,1,0
EM0012,EM,EM,1,TRUE,TRUE,1,0
EM0013,EM,EM,1,TRUE,TRUE,1,0
EM0014,EM,EM,1,TRUE,TRUE,1,0
EM0015,EM,EM,1,TRUE,TRUE,1,0
EM0016,EM,EM,1,TRUE,TRUE,1,0
EM0017,EM,EM,1,TRUE,TRUE,1,0
EM0018,EM,EM,1,TRUE,TRUE,1,0
EM0019,EM,EM,1,TRUE,TRUE,1,0
EM0020,EM,EM,1,TRUE,TRUE,1,0
EM0021,EM,EM,1,TRUE,TRUE,1,0
EM0022,EM,EM,1,TRUE,TRUE,1,0
EM0023,EM,EM,1,TRUE,TRUE,1,0
EM0024,EM,EM,1,TRUE,TRUE,1,0
EM0025,EM,EM,1,TRUE,TRUE,1,0
EM0026,EM,EM,1,TRUE,TRUE,1,0
EM0027,EM,EM,1,TRUE,TRUE,1,0
EM0028,EM,EM,1,TRUE,TRUE,1,0
EM0029,EM,EM,1,TRUE,TRUE,1,0
EM0030,EM,EM,1,TRUE,TRUE,1,0
EM0031,EM,EM,1,TRUE,TRUE,1,0
EM0032,EM,EM,1,TRUE,TRUE,1,0
EM0033,EM,EM,1,TRUE,TRUE,1,0
EM0034,EM,EM,1,TRUE,TRUE,1,0
EM0035,EM,EM,1,TRUE,TRUE,1,0
EM0036,EM,EM,1,TRUE,TRUE,1,0
EM0037,EM,EM,1,TRUE,TRUE,1,0
EM0039,EM,EM,1,TRUE,TRUE,1,0
EM0040,EM,EM,1,TRUE,TRUE,1,0
EM0041,EM,EM,1,TRUE,TRUE,1,0
EM0042,EM,EM,1,TRUE,TRUE,1,0
EM0043,EM,EM,1,TRUE,TRUE,1,0
EM0044,EM,EM,1,TRUE,TRUE,1,0
EM0045,EM,EM,1,TRUE,TRUE,1,0
EM0046,EM,EM,1,TRUE,TRUE,1,0
EM0047,EM,EM,1,TRUE,TRUE,1,0
EM0048,EM,EM,1,TRUE,TRUE,1,0
EM0049,EM,EM,1,TRUE,TRUE,1,0
EM0050,EM,EM,1,TRUE,TRUE,1,0
EM0051,EM,EM,1,TRUE,TRUE,1,0
EM0052,EM,EM,1,TRUE,TRUE,1,0
EM0053,EM,EM,1,TRUE,TRUE,1,0
EM0054,EM,EM,1,TRUE,TRUE,1,0
EM0055,EM,EM,1,TRUE,TRUE,1,0
EM0056,EM,EM,1,TRUE,TRUE,1,0
EM0057,EM,EM,1,TRUE,TRUE,1,0
EM0058,EM,EM,1,TRUE,TRUE,1,0
EM0059,EM,EM,1,TRUE,TRUE,1,0
EM0060,EM,EM,1,TRUE,TRUE,1,0
EM0061,EM,EM,1,TRUE,TRUE,1,0
EM0062,EM,EM,1,TRUE,TRUE,1,0
EM0063,EM,EM,1,TRUE,TRUE,1,0
EM0064,EM,EM,1,TRUE,TRUE,1,0
EM0065,EM,EM,1,TRUE,TRUE,1,0
EM0066,EM,EM,1,TRUE,TRUE,1,0
EM0067,EM,EM,1,TRUE,TRUE,1,0
EM0068,EM,EM,1,TRUE,TRUE,1,0
EM0069,EM,EM,1,TRUE,TRUE,1,0
EM0070,EM,EM,1,TRUE,TRUE,1,0
EM0071,EM,EM,1,TRUE,TRUE,1,0
EM0072,EM,EM,1,TRUE,TRUE,1,0
EM0073,EM,EM,1,TRUE,TRUE,1,0
EM0074,EM,EM,1,TRUE,TRUE,1,0
EM0075,EM,EM,1,TRUE,TRUE,1,0
EM0076,EM,EM,1,TRUE,TRUE,1,0
EM0077,EM,EM,1,TRUE,TRUE,1,0
EM0078,EM,EM,1,TRUE,TRUE,1,0
EM0079,EM,EM,1,TRUE,TRUE,1,0
EM0080,EM,EM,1,TRUE,TRUE,1,0
EM0081,EM,EM,1,TRUE,TRUE,1,0
EM0082,EM,EM,1,TRUE,TRUE,1,0
EM0083,EM,EM,1,TRUE,TRUE,1,0
EM0084,EM,EM,1,TRUE,TRUE,1,0
EM0085,EM,EM,1,TRUE,TRUE,1,0
EM0089,EM,EM,1,TRUE,TRUE,1,0
EM0090,EM,EM,1,TRUE,TRUE,1,0
EM0091,EM,EM,1,TRUE,TRUE,1,0
EM0092,EM,EM,1,TRUE,TRUE,1,0
EM0093,EM,EM,1,TRUE,TRUE,1,0
EM0094,EM,EM,1,TRUE,TRUE,1,0
EM0096,EM,EM,1,TRUE,TRUE,1,0
EM0112,EM,EM,1,TRUE,TRUE,1,0
EM0113,EM,EM,1,TRUE,TRUE,1,0
EM0114,EM,EM,1,TRUE,TRUE,1,0
EM0115,EM,EM,1,TRUE,TRUE,1,0
EM0116,EM,EM,1,TRUE,TRUE,1,0
EM0117,EM,EM,1,TRUE,TRUE,1,0
EM0118,EM,EM,1,TRUE,TRUE,1,0
EM0119,EM,EM,1,TRUE,TRUE,1,0
EM0120,EM,EM,1,TRUE,TRUE,1,0
EM0121,EM,EM,1,TRUE,TRUE,1,0
EM0122,EM,EM,1,TRUE,TRUE,1,0
EM0123,EM,EM,1,TRUE,TRUE,1,0
EM0124,EM,EM,1,TRUE,TRUE,1,0
EM0125,EM,EM,1,TRUE,TRUE,1,0
EM0126,EM,EM,1,TRUE,TRUE,1,0
EM0134,EM,EM,1,TRUE,TRUE,1,0
EM0135,EM,EM,1,TRUE,TRUE,1,0
EM0136,EM,EM,1,TRUE,TRUE,1,0
EM0137,EM,EM,1,TRUE,TRUE,1,0
EM0138,EM,EM,1,TRUE,TRUE,1,0
EM0139,EM,EM,1,TRUE,TRUE,1,0
EM0140,EM,EM,1,TRUE,TRUE,1,0
EM0141,EM,EM,1,TRUE,TRUE,1,0
EM0142,EM,EM,1,TRUE,TRUE,1,0
EM0143,EM,EM,1,TRUE,TRUE,1,0
EM0144,EM,EM,1,TRUE,TRUE,1,0
EM0145,EM,EM,1,TRUE,TRUE,1,0
EM0146,EM,EM,1,TRUE,TRUE,1,0
EM0147,EM,EM,1,TRUE,TRUE,1,0
EM0148,EM,EM,1,TRUE,TRUE,1,0
EM0149,EM,EM,1,TRUE,TRUE,1,0
EM0150,EM,EM,1,TRUE,TRUE,1,0
EM0151,EM,EM,1,TRUE,TRUE,1,0
EM0152,EM,EM,1,TRUE,TRUE,1,0
EM0153,EM,EM,1,TRUE,TRUE,1,0
EM0154,EM,EM,1,TRUE,TRUE,1,0
EM0155,EM,EM,1,TRUE,TRUE,1,0
EM0156,EM,EM,1,TRUE,TRUE,1,0
EM0157,EM,EM,1,TRUE,TRUE,1,0
EM0158,EM,EM,1,TRUE,TRUE,1,0
EM0159,EM,EM,1,TRUE,TRUE,1,0
EM0161,EM,EM,1,TRUE,TRUE,1,0
EM0162,EM,EM,1,TRUE,TRUE,1,0
EM0163,EM,EM,1,TRUE,TRUE,1,0
EM0164,EM,EM,1,TRUE,TRUE,1,0
EM0165,EM,EM,1,TRUE,TRUE,1,0
EM0166,EM,EM,1,TRUE,TRUE,1,0
EM0167,EM,EM,1,TRUE,TRUE,1,0
EM0168,EM,EM,1,TRUE,TRUE,1,0
EM0169,EM,EM,1,TRUE,TRUE,1,0
EM0170,EM,EM,1,TRUE,TRUE,1,0
EM0171,EM,EM,1,TRUE,TRUE,1,0
EM0172,EM,EM,1,TRUE,TRUE,1,0
EM0173,EM,EM,1,TRUE,TRUE,1,0
EM0174,EM,EM,1,TRUE,TRUE,1,0
EM0178,EM,EM,1,TRUE,TRUE,1,0
EM0179,EM,EM,1,TRUE,TRUE,1,0
EM0180,EM,EM,1,TRUE,TRUE,1,0
EM0181,EM,EM,1,TRUE,TRUE,1,0
EM0184,EM,EM,1,TRUE,TRUE,1,0
EM0185,EM,EM,1,TRUE,TRUE,1,0
EM0186,EM,EM,1,TRUE,TRUE,1,0
EM0187,EM,EM,1,TRUE,TRUE,1,0
EM0188,EM,EM,1,TRUE,TRUE,1,0
EM0190,EM,EM,1,TRUE,TRUE,1,0
EM0191,EM,EM,1,TRUE,TRUE,1,0
