productCode,manufacturerOfTradeItem
EM0001,Unknown
EM0002,Unknown
EM0003,Unknown
EM0004,Unknown
EM0005,Unknown
EM0006,Unknown
EM0007,Unknown
EM0008,Unknown
EM0009,Unknown
EM0010,Unknown
EM0011,Unknown
EM0012,Unknown
EM0013,Unknown
EM0014,Unknown
EM0015,Unknown
EM0016,Unknown
EM0017,Unknown
EM0018,Unknown
EM0019,Unknown
EM0020,Unknown
EM0021,Unknown
EM0022,Unknown
EM0023,Unknown
EM0024,Unknown
EM0025,Unknown
EM0026,Unknown
EM0027,Unknown
EM0028,Unknown
EM0029,Unknown
EM0030,Unknown
EM0031,Unknown
EM0032,Unknown
EM0033,Unknown
EM0034,Unknown
EM0035,Unknown
EM0036,Unknown
EM0037,Unknown
EM0039,Unknown
EM0040,Unknown
EM0041,Unknown
EM0042,Unknown
EM0043,Unknown
EM0044,Unknown
EM0045,Unknown
EM0046,Unknown
EM0047,Unknown
EM0048,Unknown
EM0049,Unknown
EM0050,Unknown
EM0051,Unknown
EM0052,Unknown
EM0053,Unknown
EM0054,Unknown
EM0055,Unknown
EM0056,Unknown
EM0057,Unknown
EM0058,Unknown
EM0059,Unknown
EM0060,Unknown
EM0061,Unknown
EM0062,Unknown
EM0063,Unknown
EM0064,Unknown
EM0065,Unknown
EM0066,Unknown
EM0067,Unknown
EM0068,Unknown
EM0069,Unknown
EM0070,Unknown
EM0071,Unknown
EM0072,Unknown
EM0073,Unknown
EM0074,Unknown
EM0075,Unknown
EM0076,Unknown
EM0077,Unknown
EM0078,Unknown
EM0079,Unknown
EM0080,Unknown
EM0081,Unknown
EM0082,Unknown
EM0083,Unknown
EM0084,Unknown
EM0085,Unknown
EM0089,Unknown
EM0090,Unknown
EM0091,Unknown
EM0092,Unknown
EM0093,Unknown
EM0094,Unknown
EM0096,Unknown
EM0112,Unknown
EM0113,Unknown
EM0114,Unknown
EM0115,Unknown
EM0116,Unknown
EM0117,Unknown
EM0118,Unknown
EM0119,Unknown
EM0120,Unknown
EM0121,Unknown
EM0122,Unknown
