referenceId,isRefDataFacility
GCMS,true
WHR1RMS,true
WHR1HSP1,true
WHR1HSP2,true
WHR1HSP3,true
WHR1HCC1,true
WHR1HCC2,true
WHR1HCC3,true
WHR1HCC4,true
WHR1HCC5,true
WHR1HCC6,true
WHR1HCC7,true
WHR2RMS,true
WHR2HSP1,true
WHR2HSP2,true
WHR2HCC1,true
WHR2HCC2,true
WHR2HCC3,true
WHR2HCC4,true
NBERRMS,true
NBERHSP1,true
NBERHCC1,true
NBERHCC2,true
NBERHCC3,true
NBERHCC4,true
NBWRRMS,true
NBWRHSP1,true
NBWRHCC1,true
NBWRHCC2,true
NBWRHCC3,true
LRRRMS,true
LRRHSP1,true
LRRHCC1,true
LRRHCC2,true
LRRHCC3,true
URRRMS,true
URRHSP1,true
URRHCC1,true
URRHCC2,true
URRHCC3,true
URRHCC4,true
URRHCC5,true
URRHCC6,true
CRRRMS,true
CRRHSP1,true
CRRHCC1,true
CRRHCC2,true
CRRHCC3,true
CRRHCC4,true
CRRHCC5,true
CRRHCC6,true
