facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
CMS,EM,EM0001,12,6,3
CMS,EM,EM0002,12,6,3
CMS,EM,EM0003,12,6,3
CMS,EM,EM0004,12,6,3
CMS,EM,EM0005,12,6,3
CMS,EM,EM0006,12,6,3
CMS,EM,EM0007,12,6,3
CMS,EM,EM0008,12,6,3
CMS,EM,EM0009,12,6,3
CMS,EM,EM0010,12,6,3
CMS,EM,EM0011,12,6,3
CMS,EM,EM0012,12,6,3
CMS,EM,EM0013,12,6,3
CMS,EM,EM0014,12,6,3
CMS,EM,EM0015,12,6,3
CMS,EM,EM0016,12,6,3
CMS,EM,EM0017,12,6,3
CMS,EM,EM0018,12,6,3
CMS,EM,EM0019,12,6,3
CMS,EM,EM0020,12,6,3
CMS,EM,EM0021,12,6,3
CMS,EM,EM0022,12,6,3
CMS,EM,EM0023,12,6,3
CMS,EM,EM0024,12,6,3
CMS,EM,EM0025,12,6,3
CMS,EM,EM0026,12,6,3
CMS,EM,EM0027,12,6,3
CMS,EM,EM0028,12,6,3
CMS,EM,EM0029,12,6,3
CMS,EM,EM0030,12,6,3
CMS,EM,EM0031,12,6,3
CMS,EM,EM0032,12,6,3
CMS,EM,EM0033,12,6,3
CMS,EM,EM0034,12,6,3
CMS,EM,EM0035,12,6,3
CMS,EM,EM0036,12,6,3
CMS,EM,EM0037,12,6,3
CMS,EM,EM0038,12,6,3
CMS,EM,EM0039,12,6,3
CMS,EM,EM0040,12,6,3
CMS,EM,EM0041,12,6,3
CMS,EM,EM0042,12,6,3
CMS,EM,EM0043,12,6,3
CMS,EM,EM0044,12,6,3
CMS,EM,EM0045,12,6,3
CMS,EM,EM0046,12,6,3
CMS,EM,EM0047,12,6,3
CMS,EM,EM0048,12,6,3
CMS,EM,EM0049,12,6,3
CMS,EM,EM0050,12,6,3
CMS,EM,EM0051,12,6,3
CMS,EM,EM0052,12,6,3
CMS,EM,EM0053,12,6,3
CMS,EM,EM0054,12,6,3
CMS,EM,EM0055,12,6,3
CMS,EM,EM0056,12,6,3
CMS,EM,EM0057,12,6,3
CMS,EM,EM0058,12,6,3
CMS,EM,EM0059,12,6,3
CMS,EM,EM0060,12,6,3
CMS,EM,EM0061,12,6,3
CMS,EM,EM0062,12,6,3
CMS,EM,EM0063,12,6,3
CMS,EM,EM0064,12,6,3
CMS,EM,EM0065,12,6,3
CMS,EM,EM0066,12,6,3
CMS,EM,EM0067,12,6,3
CMS,EM,EM0068,12,6,3
CMS,EM,EM0069,12,6,3
CMS,EM,EM0070,12,6,3
CMS,EM,EM0071,12,6,3
CMS,EM,EM0072,12,6,3
CMS,EM,EM0073,12,6,3
CMS,EM,EM0074,12,6,3
CMS,EM,EM0075,12,6,3
CMS,EM,EM0076,12,6,3
CMS,EM,EM0077,12,6,3
CMS,EM,EM0078,12,6,3
CMS,EM,EM0079,12,6,3
CMS,EM,EM0080,12,6,3
CMS,EM,EM0081,12,6,3
CMS,EM,EM0082,12,6,3
CMS,EM,EM0083,12,6,3
CMS,EM,EM0084,12,6,3
CMS,EM,EM0085,12,6,3
CMS,EM,EM0086,12,6,3
CMS,EM,EM0087,12,6,3
