key,productCode,productCode
tradeItem,EM0001,EM0001
tradeItem,EM0002,EM0002
tradeItem,EM0003,EM0003
tradeItem,EM0004,EM0004
tradeItem,EM0005,EM0005
tradeItem,EM0006,EM0006
tradeItem,EM0007,EM0007
tradeItem,EM0008,EM0008
tradeItem,EM0009,EM0009
tradeItem,EM0010,EM0010
tradeItem,EM0011,EM0011
tradeItem,EM0012,EM0012
tradeItem,EM0013,EM0013
tradeItem,EM0014,EM0014
tradeItem,EM0015,EM0015
tradeItem,EM0016,EM0016
tradeItem,EM0017,EM0017
tradeItem,EM0018,EM0018
tradeItem,EM0019,EM0019
tradeItem,EM0020,EM0020
tradeItem,EM0021,EM0021
tradeItem,EM0022,EM0022
tradeItem,EM0023,EM0023
tradeItem,EM0024,EM0024
tradeItem,EM0025,EM0025
tradeItem,EM0026,EM0026
tradeItem,EM0027,EM0027
tradeItem,EM0028,EM0028
tradeItem,EM0029,EM0029
tradeItem,EM0030,EM0030
tradeItem,EM0031,EM0031
tradeItem,EM0032,EM0032
tradeItem,EM0033,EM0033
tradeItem,EM0034,EM0034
tradeItem,EM0035,EM0035
tradeItem,EM0036,EM0036
tradeItem,EM0037,EM0037
tradeItem,EM0038,EM0038
tradeItem,EM0039,EM0039
tradeItem,EM0040,EM0040
tradeItem,EM0041,EM0041
tradeItem,EM0042,EM0042
tradeItem,EM0043,EM0043
tradeItem,EM0044,EM0044
tradeItem,EM0045,EM0045
tradeItem,EM0046,EM0046
tradeItem,EM0047,EM0047
tradeItem,EM0048,EM0048
tradeItem,EM0049,EM0049
tradeItem,EM0050,EM0050
tradeItem,EM0051,EM0051
tradeItem,EM0052,EM0052
tradeItem,EM0053,EM0053
tradeItem,EM0054,EM0054
tradeItem,EM0055,EM0055
tradeItem,EM0056,EM0056
tradeItem,EM0057,EM0057
tradeItem,EM0058,EM0058
tradeItem,EM0059,EM0059
tradeItem,EM0060,EM0060
tradeItem,EM0061,EM0061
tradeItem,EM0062,EM0062
tradeItem,EM0063,EM0063
tradeItem,EM0064,EM0064
tradeItem,EM0065,EM0065
tradeItem,EM0066,EM0066
tradeItem,EM0067,EM0067
tradeItem,EM0068,EM0068
tradeItem,EM0069,EM0069
tradeItem,EM0070,EM0070
tradeItem,EM0071,EM0071
tradeItem,EM0072,EM0072
tradeItem,EM0073,EM0073
tradeItem,EM0074,EM0074
tradeItem,EM0075,EM0075
tradeItem,EM0076,EM0076
tradeItem,EM0077,EM0077
tradeItem,EM0078,EM0078
tradeItem,EM0079,EM0079
tradeItem,EM0080,EM0080
tradeItem,EM0081,EM0081
tradeItem,EM0082,EM0082
tradeItem,EM0083,EM0083
tradeItem,EM0084,EM0084
tradeItem,EM0085,EM0085
tradeItem,EM0086,EM0086
tradeItem,EM0087,EM0087
tradeItem,EM0088,EM0088
tradeItem,EM0089,EM0089
tradeItem,EM0090,EM0090
tradeItem,EM0091,EM0091
tradeItem,EM0092,EM0092
tradeItem,EM0093,EM0093
tradeItem,EM0094,EM0094
tradeItem,EM0095,EM0095
tradeItem,EM0096,EM0096
tradeItem,EM0097,EM0097
tradeItem,EM0098,EM0098
tradeItem,EM0099,EM0099
tradeItem,EM0100,EM0100
tradeItem,EM0101,EM0101
tradeItem,EM0102,EM0102
tradeItem,EM0103,EM0103
tradeItem,EM0104,EM0104
tradeItem,EM0105,EM0105
tradeItem,EM0106,EM0106
tradeItem,EM0107,EM0107
tradeItem,EM0108,EM0108
tradeItem,EM0109,EM0109
tradeItem,EM0110,EM0110
tradeItem,EM0111,EM0111
tradeItem,EM0112,EM0112
tradeItem,EM0113,EM0113
tradeItem,EM0114,EM0114
tradeItem,EM0115,EM0115
tradeItem,EM0116,EM0116
tradeItem,EM0117,EM0117
tradeItem,EM0118,EM0118
tradeItem,EM0119,EM0119
tradeItem,EM0120,EM0120
tradeItem,EM0121,EM0121
tradeItem,EM0122,EM0122
tradeItem,EM0123,EM0123
tradeItem,EM0124,EM0124
tradeItem,EM0125,EM0125
tradeItem,EM0126,EM0126
tradeItem,EM0127,EM0127
tradeItem,EM0128,EM0128
tradeItem,EM0129,EM0129
tradeItem,EM0130,EM0130
tradeItem,EM0131,EM0131
tradeItem,EM0132,EM0132
tradeItem,EM0133,EM0133
tradeItem,EM0134,EM0134
tradeItem,EM0135,EM0135
tradeItem,EM0136,EM0136
tradeItem,EM0137,EM0137
tradeItem,EM0138,EM0138
tradeItem,EM0139,EM0139
tradeItem,EM0140,EM0140
tradeItem,EM0141,EM0141
tradeItem,EM0142,EM0142
tradeItem,EM0143,EM0143
tradeItem,EM0144,EM0144
tradeItem,EM0145,EM0145
tradeItem,EM0146,EM0146
tradeItem,EM0147,EM0147
tradeItem,EM0148,EM0148
tradeItem,EM0149,EM0149
tradeItem,EM0150,EM0150
tradeItem,EM0151,EM0151
tradeItem,EM0152,EM0152
tradeItem,EM0153,EM0153
tradeItem,EM0154,EM0154
tradeItem,EM0155,EM0155
tradeItem,EM0156,EM0156
tradeItem,EM0157,EM0157
tradeItem,EM0158,EM0158
tradeItem,EM0159,EM0159
tradeItem,EM0160,EM0160
tradeItem,EM0161,EM0161
tradeItem,EM0162,EM0162
tradeItem,EM0163,EM0163
tradeItem,EM0164,EM0164
tradeItem,EM0165,EM0165
tradeItem,EM0166,EM0166
tradeItem,EM0167,EM0167
tradeItem,EM0168,EM0168
tradeItem,EM0169,EM0169
tradeItem,EM0170,EM0170
tradeItem,EM0171,EM0171
tradeItem,EM0172,EM0172
tradeItem,EM0173,EM0173
tradeItem,EM0174,EM0174
tradeItem,EM0175,EM0175
tradeItem,EM0176,EM0176
tradeItem,EM0177,EM0177
tradeItem,EM0178,EM0178
tradeItem,EM0179,EM0179
tradeItem,EM0180,EM0180
tradeItem,EM0181,EM0181
tradeItem,EM0182,EM0182
tradeItem,EM0183,EM0183
tradeItem,EM0184,EM0184
tradeItem,EM0185,EM0185
tradeItem,EM0186,EM0186
tradeItem,EM0187,EM0187
tradeItem,EM0188,EM0188
tradeItem,EM0189,EM0189
tradeItem,EM0190,EM0190
tradeItem,EM0191,EM0191
tradeItem,EM0192,EM0192
tradeItem,EM0193,EM0193
tradeItem,EM0194,EM0194
tradeItem,EM0195,EM0195
tradeItem,EM0196,EM0196
tradeItem,EM0197,EM0197
tradeItem,EM0198,EM0198
tradeItem,EM0199,EM0199
tradeItem,EM0200,EM0200
tradeItem,EM0201,EM0201
tradeItem,EM0202,EM0202
tradeItem,EM0203,EM0203
tradeItem,EM0204,EM0204
tradeItem,EM0205,EM0205
tradeItem,EM0206,EM0206
tradeItem,EM0207,EM0207
tradeItem,EM0208,EM0208
tradeItem,EM0209,EM0209
tradeItem,EM0210,EM0210
tradeItem,EM0211,EM0211
tradeItem,EM0212,EM0212
tradeItem,EM0213,EM0213
tradeItem,EM0214,EM0214
tradeItem,EM0215,EM0215
tradeItem,EM0216,EM0216
tradeItem,EM0217,EM0217
tradeItem,EM0218,EM0218
tradeItem,EM0219,EM0219
tradeItem,EM0220,EM0220
tradeItem,EM0221,EM0221
tradeItem,EM0222,EM0222
tradeItem,EM0223,EM0223
tradeItem,EM0224,EM0224
tradeItem,EM0225,EM0225
tradeItem,EM0226,EM0226
tradeItem,EM0227,EM0227
tradeItem,EM0228,EM0228
tradeItem,EM0229,EM0229
tradeItem,EM0230,EM0230
tradeItem,EM0231,EM0231
tradeItem,EM0232,EM0232
tradeItem,EM0233,EM0233
tradeItem,EM0234,EM0234
tradeItem,EM0235,EM0235
tradeItem,EM0236,EM0236
tradeItem,EM0237,EM0237
tradeItem,EM0238,EM0238
tradeItem,EM0239,EM0239
tradeItem,EM0240,EM0240
tradeItem,EM0241,EM0241
tradeItem,EM0242,EM0242
tradeItem,EM0243,EM0243
tradeItem,EM0244,EM0244
tradeItem,EM0245,EM0245
tradeItem,EM0246,EM0246
tradeItem,EM0247,EM0247
tradeItem,EM0248,EM0248
tradeItem,EM0249,EM0249
tradeItem,EM0250,EM0250
tradeItem,EM0251,EM0251
tradeItem,EM0252,EM0252
tradeItem,EM0253,EM0253
tradeItem,EM0254,EM0254
tradeItem,EM0255,EM0255
tradeItem,EM0256,EM0256
tradeItem,EM0257,EM0257
tradeItem,EM0258,EM0258
tradeItem,EM0259,EM0259
tradeItem,EM0260,EM0260
tradeItem,EM0261,EM0261
tradeItem,EM0262,EM0262
tradeItem,EM0263,EM0263
tradeItem,EM0264,EM0264
tradeItem,EM0265,EM0265
tradeItem,EM0266,EM0266
tradeItem,EM0267,EM0267
tradeItem,EM0268,EM0268
tradeItem,EM0269,EM0269
tradeItem,EM0270,EM0270
tradeItem,EM0271,EM0271
tradeItem,EM0272,EM0272
tradeItem,EM0273,EM0273
tradeItem,EM0274,EM0274
tradeItem,EM0275,EM0275
tradeItem,EM0276,EM0276
tradeItem,EM0277,EM0277
tradeItem,EM0278,EM0278
tradeItem,EM0279,EM0279
tradeItem,EM0280,EM0280
tradeItem,EM0281,EM0281
tradeItem,EM0282,EM0282
tradeItem,EM0283,EM0283
tradeItem,EM0284,EM0284
tradeItem,EM0285,EM0285
tradeItem,EM0286,EM0286
tradeItem,EM0287,EM0287
tradeItem,EM0288,EM0288
tradeItem,EM0289,EM0289
tradeItem,EM0290,EM0290
tradeItem,EM0291,EM0291
tradeItem,EM0292,EM0292
tradeItem,EM0293,EM0293
tradeItem,EM0294,EM0294
tradeItem,EM0295,EM0295
tradeItem,EM0296,EM0296
tradeItem,EM0297,EM0297
tradeItem,EM0298,EM0298
tradeItem,EM0299,EM0299
tradeItem,EM0300,EM0300
tradeItem,EM0301,EM0301
tradeItem,EM0302,EM0302
tradeItem,EM0303,EM0303
tradeItem,EM0304,EM0304
tradeItem,EM0305,EM0305
tradeItem,EM0306,EM0306
tradeItem,EM0307,EM0307
tradeItem,EM0308,EM0308
tradeItem,EM0309,EM0309
tradeItem,EM0310,EM0310
tradeItem,EM0311,EM0311
tradeItem,EM0312,EM0312
tradeItem,EM0313,EM0313
tradeItem,EM0314,EM0314
tradeItem,EM0315,EM0315
tradeItem,EM0316,EM0316
tradeItem,EM0317,EM0317
tradeItem,EM0318,EM0318
tradeItem,EM0319,EM0319
tradeItem,EM0320,EM0320
tradeItem,EM0321,EM0321
tradeItem,EM0322,EM0322
tradeItem,EM0323,EM0323
tradeItem,EM0324,EM0324
tradeItem,EM0325,EM0325
tradeItem,EM0326,EM0326
tradeItem,EM0327,EM0327
tradeItem,EM0328,EM0328
tradeItem,EM0329,EM0329
tradeItem,EM0330,EM0330
tradeItem,EM0331,EM0331
tradeItem,EM0332,EM0332
tradeItem,EM0333,EM0333
tradeItem,EM0334,EM0334
tradeItem,EM0335,EM0335
tradeItem,EM0336,EM0336
tradeItem,EM0337,EM0337
tradeItem,EM0338,EM0338
tradeItem,EM0339,EM0339
tradeItem,EM0340,EM0340
tradeItem,EM0341,EM0341
tradeItem,EM0342,EM0342
tradeItem,EM0343,EM0343
tradeItem,EM0344,EM0344
tradeItem,EM0345,EM0345
tradeItem,EM0346,EM0346
tradeItem,EM0347,EM0347
tradeItem,EM0348,EM0348
tradeItem,EM0349,EM0349
tradeItem,EM0350,EM0350
tradeItem,EM0351,EM0351
tradeItem,EM0352,EM0352
tradeItem,EM0353,EM0353
tradeItem,EM0354,EM0354
tradeItem,EM0355,EM0355
tradeItem,EM0356,EM0356
tradeItem,EM0357,EM0357
tradeItem,EM0358,EM0358
tradeItem,EM0359,EM0359
tradeItem,EM0360,EM0360
tradeItem,EM0361,EM0361
tradeItem,EM0362,EM0362
tradeItem,EM0363,EM0363
tradeItem,EM0364,EM0364
tradeItem,EM0365,EM0365
tradeItem,EM0366,EM0366
tradeItem,EM0367,EM0367
tradeItem,,
tradeItem,LC0001,LC0001
tradeItem,LC0002,LC0002
tradeItem,LC0003,LC0003
tradeItem,LC0004,LC0004
tradeItem,LC0005,LC0005
tradeItem,LC0006,LC0006
tradeItem,LC0007,LC0007
tradeItem,LC0008,LC0008
tradeItem,LC0009,LC0009
tradeItem,LC0010,LC0010
tradeItem,LC0011,LC0011
tradeItem,LC0012,LC0012
tradeItem,LC0013,LC0013
tradeItem,LC0014,LC0014
tradeItem,LC0015,LC0015
tradeItem,LC0016,LC0016
tradeItem,LC0017,LC0017
tradeItem,LC0018,LC0018
tradeItem,LC0019,LC0019
tradeItem,LC0020,LC0020
tradeItem,LC0021,LC0021
tradeItem,LC0022,LC0022
tradeItem,LC0023,LC0023
tradeItem,LC0024,LC0024
tradeItem,LC0025,LC0025
tradeItem,LC0026,LC0026
tradeItem,LC0027,LC0027
tradeItem,LC0028,LC0028
tradeItem,LC0029,LC0029
