code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
GCMS,Central Medical Store,,BAC,CMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1RMS,WHR1 RMS,,KAM,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP1,Edward Francis Small Teaching Hospital,,BAC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP2,Bundung Maternal Child Health Hospital,,KAM,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HSP3,Kanifing General Hospital,,KAM,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC1,Faji Kunda Major Health Centre,,KAM,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC2,Bakau Minor Health Centre,,KAM,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC3,Sere kunda Minor Health Centre,,KAM,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC4,Brufut Minor Health Centre,,KON,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC5,Banjulnding Minor Health Centre,,KON,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC6,Sukuta Minor Health Centre,,KON,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR1HCC7,SOS Bakoteh NGO Clinic,,KAM,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2RMS,WHR2 RMS,,KOC,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSP1,Bwiam General Hospital,,FOK,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HSP2,Brikama District Hospital,,KOC,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC1,Sanyang Major Health Centre,,KOS,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC2,Kafuta Minor Health Centre,,KOE,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
