facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
RMS,LC,LC0166,4,2,1
RMS,LC,LC0167,4,2,1
RMS,LC,LC0168,4,2,1
RMS,LC,LC0169,4,2,1
RMS,LC,LC0170,4,2,1
RMS,LC,LC0171,4,2,1
RMS,LC,LC0172,4,2,1
RMS,LC,LC0173,4,2,1
RMS,LC,LC0174,4,2,1
RMS,LC,LC0175,4,2,1
RMS,LC,LC0176,4,2,1
RMS,LC,LC0177,4,2,1
RMS,LC,LC0178,4,2,1
RMS,LC,LC0179,4,2,1
RMS,LC,LC0180,4,2,1
RMS,LC,LC0181,4,2,1
RMS,LC,LC0182,4,2,1
RMS,LC,LC0183,4,2,1
RMS,LC,LC0184,4,2,1
RMS,LC,LC0185,4,2,1
RMS,LC,LC0186,4,2,1
RMS,LC,LC0187,4,2,1
RMS,LC,LC0188,4,2,1
RMS,LC,LC0189,4,2,1
RMS,LC,LC0190,4,2,1
RMS,LC,LC0191,4,2,1
RMS,LC,LC0192,4,2,1
RMS,LC,LC0193,4,2,1
RMS,LC,LC0194,4,2,1
RMS,LC,LC0195,4,2,1
RMS,LC,LC0196,4,2,1
RMS,LC,LC0197,4,2,1
RMS,LC,LC0198,4,2,1
RMS,LC,LC0199,4,2,1
RMS,LC,LC0200,4,2,1
RMS,LC,LC0201,4,2,1
RMS,LC,LC0202,4,2,1
RMS,LC,LC0203,4,2,1
RMS,LC,LC0204,4,2,1
RMS,LC,LC0205,4,2,1
RMS,LC,LC0206,4,2,1
RMS,LC,LC0207,4,2,1
RMS,LC,LC0208,4,2,1
RMS,LC,LC0209,4,2,1
RMS,LC,LC0210,4,2,1
RMS,LC,LC0211,4,2,1
RMS,LC,LC0212,4,2,1
RMS,LC,LC0213,4,2,1
RMS,LC,LC0214,4,2,1
RMS,LC,LC0215,4,2,1
RMS,LC,LC0216,4,2,1
RMS,LC,LC0217,4,2,1
RMS,LC,LC0218,4,2,1
RMS,LC,LC0219,4,2,1
RMS,LC,LC0220,4,2,1
RMS,LC,LC0221,4,2,1
RMS,LC,LC0222,4,2,1
RMS,LC,LC0223,4,2,1
RMS,LC,LC0224,4,2,1
RMS,LC,LC0225,4,2,1
RMS,LC,LC0226,4,2,1
RMS,LC,LC0227,4,2,1
RMS,LC,LC0228,4,2,1
RMS,LC,LC0229,4,2,1
RMS,LC,LC0230,4,2,1
RMS,LC,LC0231,4,2,1
RMS,LC,LC0232,4,2,1
RMS,LC,LC0233,4,2,1
RMS,LC,LC0234,4,2,1
RMS,LC,LC0235,4,2,1
RMS,LC,LC0236,4,2,1
RMS,LC,LC0237,4,2,1
RMS,LC,LC0238,4,2,1
RMS,LC,LC0239,4,2,1
