programId, facilityTypeCode, facilityCode
HIV,HSP,GCMS
TB,HSP,GCMS
MLA,HSP,GCMS
RMNCAH,HSP,GCMS
EM,HSP,GCMS
LC,HSP,GCMS
HIV,RMS,GCMS
TB,RMS,GCMS
MLA,RMS,GCMS
RMNCAH,RMS,GCMS
EM,RMS,GCMS
LC,RMS,GCMS
HIV,HCC,WHR1RMS
TB,HCC,WHR1RMS
MLA,HCC,WHR1RMS
RMNCAH,HCC,WHR1RMS
EM,HCC,WHR1RMS
LC,HCC,WHR1RMS
HIV,HCC,WHR2RMS
TB,HCC,WHR2RMS
MLA,HCC,WHR2RMS
RMNCAH,HCC,WHR2RMS
EM,HCC,WHR2RMS
LC,HCC,WHR2RMS
HIV,HCC,NBERRMS
TB,HCC,NBERRMS
MLA,HCC,NBERRMS
RMNCAH,HCC,NBERRMS
EM,HCC,NBERRMS
LC,HCC,NBERRMS
HIV,HCC,NBWRRMS
TB,HCC,NBWRRMS
MLA,HCC,NBWRRMS
RMNCAH,HCC,NBWRRMS
EM,HCC,NBWRRMS
LC,HCC,NBWRRMS
HIV,HCC,LRRRMS
TB,HCC,LRRRMS
MLA,HCC,LRRRMS
RMNCAH,HCC,LRRRMS
EM,HCC,LRRRMS
LC,HCC,LRRRMS
HIV,HCC,URRRMS
TB,HCC,URRRMS
MLA,HCC,URRRMS
RMNCAH,HCC,URRRMS
EM,HCC,URRRMS
LC,HCC,URRRMS
HIV,HCC,CRRRMS
TB,HCC,CRRRMS
MLA,HCC,CRRRMS
RMNCAH,HCC,CRRRMS
EM,HCC,CRRRMS
LC,HCC,CRRRMS
