programId, facilityTypeCode, facilityCode
MLA,RMS,GMB
MLA,HSP,CRR
MLA,HSP,URR
MLA,HSP,LRR
MLA,HSP,NBR
MLA,HSP,WHR
MLA,HCC,CRR
MLA,HCC,URR
MLA,HCC,LRR
MLA,HCC,NBR
MLA,HCC,WHR
MLA,RMS,DS1
MLA,RMS,DS2
MLA,RMS,DS3
MLA,RMS,DS4
MLA,RMS,DS5
MLA,RMS,DS6
MLA,RMS,DS7
MLA,RMS,DS8
MLA,RMS,DS9
MLA,RMS,DS10
MLA,RMS,DS11
MLA,RMS,DS12
MLA,RMS,DS13
MLA,RMS,DS14
MLA,RMS,DS15
MLA,RMS,DS16
MLA,RMS,DS17
MLA,RMS,DS18
MLA,RMS,DS19
MLA,RMS,DS20
MLA,RMS,DS21
MLA,RMS,DS22
MLA,RMS,DS23
MLA,RMS,DS24
MLA,RMS,DS25
MLA,RMS,DS26
MLA,RMS,DS27
MLA,RMS,DS28
MLA,RMS,DS29
MLA,RMS,DS30
MLA,RMS,DS31
MLA,RMS,DS32
MLA,RMS,DS33
MLA,RMS,DS34
MLA,RMS,DS35
MLA,RMS,DS36
MLA,RMS,DS37
MLA,RMS,DS38
MLA,RMS,DS39
MLA,RMS,DS40
MLA,RMS,DS41
MLA,RMS,DS42
MLA,RMS,DS43
MLA,RMS,DS44
MLA,RMS,DS45
MLA,RMS,DS46
MLA,RMS,DS47
MLA,RMS,DS48
MLA,RMS,DS49
MLA,RMS,DS50
MLA,RMS,DS51
MLA,RMS,DS52
MLA,RMS,DS53
MLA,RMS,DS54
MLA,RMS,DS55
MLA,RMS,DS56
MLA,RMS,DS57
MLA,RMS,DS58
MLA,RMS,DS59
MLA,RMS,DS60
MLA,RMS,DS61
MLA,RMS,DS62
MLA,RMS,DS63
MLA,RMS,DS64
MLA,RMS,DS65
MLA,RMS,DS66
MLA,RMS,DS67
MLA,RMS,DS68
MLA,RMS,DS69
MLA,RMS,DS70
MLA,RMS,DS71
MLA,RMS,DS72
MLA,RMS,DS73
MLA,RMS,DS74
MLA,RMS,DS75
MLA,RMS,DS76
MLA,RMS,DS77
MLA,RMS,DS78
MLA,RMS,DS79
MLA,RMS,DS80
MLA,RMS,DS81
MLA,RMS,DS82
MLA,RMS,DS83
MLA,RMS,DS84
MLA,RMS,DS85
MLA,RMS,DS86
MLA,RMS,DS87
MLA,RMS,DS88
MLA,RMS,DS89
MLA,RMS,DS90
MLA,RMS,DS91
MLA,RMS,DS92
MLA,RMS,DS93
MLA,RMS,DS94
MLA,RMS,DS95
MLA,RMS,DS96
MLA,RMS,DS97
MLA,RMS,DS98
MLA,RMS,DS99
MLA,RMS,DS100
MLA,RMS,DS101
MLA,RMS,DS102
MLA,RMS,DS103
MLA,RMS,DS104
MLA,RMS,DS105
MLA,RMS,DS106
MLA,RMS,DS107
MLA,RMS,DS108
MLA,RMS,DS109
MLA,RMS,DS110
MLA,RMS,DS111
MLA,RMS,DS112
MLA,RMS,DS113
MLA,RMS,DS114
MLA,RMS,DS115
MLA,RMS,DS116
MLA,RMS,DS117
MLA,RMS,DS118
MLA,RMS,DS119
MLA,RMS,DS120
MLA,RMS,DS121
MLA,RMS,DS122
MLA,RMS,DS123
MLA,RMS,DS124
MLA,RMS,DS125
MLA,RMS,DS126
MLA,RMS,DS127
MLA,RMS,DS128
MLA,RMS,DS129
MLA,RMS,DS130
MLA,RMS,DS131
MLA,RMS,DS132
MLA,RMS,DS133
MLA,RMS,DS134
MLA,RMS,DS135
MLA,RMS,DS136
MLA,RMS,DS137
MLA,RMS,DS138
MLA,RMS,DS139
MLA,RMS,DS140
MLA,RMS,DS141
MLA,RMS,DS142
MLA,RMS,DS143
MLA,RMS,DS144
MLA,RMS,DS145
MLA,RMS,DS146
MLA,RMS,DS147
MLA,RMS,DS148
MLA,RMS,DS149
MLA,RMS,DS150
MLA,RMS,DS151
MLA,RMS,DS152
MLA,RMS,DS153
MLA,RMS,DS154
MLA,RMS,DS155
MLA,RMS,DS156
MLA,RMS,DS157
MLA,RMS,DS158
MLA,RMS,DS159
MLA,RMS,DS160
MLA,RMS,DS161
MLA,RMS,DS162
MLA,RMS,DS163
MLA,RMS,DS164
MLA,RMS,DS165
MLA,RMS,DS166
MLA,RMS,DS167
MLA,RMS,DS168
MLA,RMS,DS169
MLA,RMS,DS170
MLA,RMS,DS171
MLA,RMS,DS172
MLA,RMS,DS173
MLA,RMS,DS174
MLA,RMS,DS175
MLA,RMS,DS176
MLA,RMS,DS177
MLA,RMS,DS178
MLA,RMS,DS179
MLA,RMS,DS180
MLA,RMS,DS181
