username,phoneNumber,email,allowNotify
bbadgie,,,FALSE
bsuso,,,FALSE
mceesay,,,FALSE
yceesay,,,FALSE
ycamara,,,FALSE
bduganda,,,FALSE
kjallow,,,FALSE
bcham,,,FALSE
asanneh,,,FALSE
mbarry,,,FALSE
esabally,,,FALSE
kjallow,,,FALSE
lajammeh,,,FALSE
sbanda,,,FALSE
obadjie,,,FALSE
obojang,,,FALSE
jdrammeh,,,FALSE
bcamara,,,FALSE
ldanjo,,,FALSE
hbaldeh,,,FALSE
bmakalo,,,FALSE
bgaye,,,FALSE
bnget,,,FALSE
mkebbeh,,,FALSE
esowe,,,FALSE
sjatta,,,FALSE
asjallow,,,FALSE
bsanyang,,,FALSE
msjallow,,,FALSE
esaine,,,FALSE
lsabally,,,FALSE
jjobe,,,FALSE
ebaber,,,FALSE
anjie,,,FALSE
bbadjan,,,FALSE
btunkara,,,FALSE
ifeanaetor,,,FALSE
binjarjusey,,,FALSE
harnjie,,,FALSE
harsaidy,,,FALSE
bubjanneh,,,FALSE
lotsanyang,,,FALSE
geobass,,,FALSE
jaimbakeh,,,FALSE
isajallow,,,FALSE
davdare,,,FALSE
sirbarry,,,FALSE
binjarju,,,FALSE
ramcamara,,,FALSE
fabbarrow,,,FALSE
marmanjang,,,FALSE
marsaidykhan,,,FALSE
omadampha,,,FALSE
marbondi,,,FALSE
safjallow,,,FALSE
kumbah,,,FALSE
hadbadjie,,,FALSE
saisanyang,,,FALSE
yabmanjang,,,FALSE
lancamara,,,FALSE
ouscamara,,,FALSE
nanceesay,,,FALSE
yamnget,,,FALSE
okuyateh,,,FALSE
ojarju,,,FALSE
osinghateh,,,FALSE
oceesay,,,FALSE
abjallow,,,FALSE
shydara,,,FALSE
ldsanyang,,,FALSE
sajallow,,,FALSE
atouray,,,FALSE
bsarr,,,FALSE
smballow,,,FALSE
amendy,,,FALSE
nbarrow,,,FALSE
pjimbara,,,FALSE
lsanyang,,,FALSE
fceesay,,,FALSE
akanyi,,,FALSE
obaldeh,,,FALSE
kbojang,,,FALSE
bjallow,,,FALSE
bgomez,,,FALSE
pbojang,,,FALSE
ssey,,,FALSE
scamara,,,FALSE
fcolley,,,FALSE
sjaiteh,,,FALSE
aceesay,,,FALSE
jdarboe,,,FALSE
fsillah,,,FALSE
ocham,,,FALSE
hjallow,,,FALSE
ljarju,,,FALSE
htouray,,,FALSE
jsaidy,,,FALSE
asaidy,,,FALSE
tceesay,,,FALSE
sleigh,,,FALSE
ycolley,,,FALSE
afaye,,,FALSE
bsillah,,,FALSE
acham,,,FALSE
sconteh,,,FALSE
eceesay,,,FALSE
hlum,,,FALSE
ajarjue,,,FALSE
mmendy,,,FALSE
scham,,,FALSE
lfjarju,,,FALSE
ajallow,,,FALSE
maijallow,,,FALSE
msaho,,,FALSE
efaal,,,FALSE
